,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
2969,Nike Offcourt (Pittsburgh Steelers),Offcourt Slides,FOOTWEAR,,Black,https://www.nike.com/t/offcourt-pittsburgh-steelers-offcourt-slides-rmC6pj/FN4470-001,https://static.nike.com/a/images/t_default/5e9c632a-ec7c-4ec8-8669-892d5180c2b7/NIKE+OFFCOURT+SLIDE+STEELERS.png,40,0,40
2970,Nike Offcourt (NFL Atlanta Falcons),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-atlanta-falcons-slide-18S7pH/DD0521-002,https://static.nike.com/a/images/t_default/8554da68-0fdb-4c26-a3c1-f33dcc441b71/NIKE+OFFCOURT+SLIDE+FALCONS.png,40,0,40
2971,"Nike Air Trainer 1 ""SB LVIII""",Men's Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/air-trainer-1-sb-lviii-mens-shoes-PN2hZ0/FJ6195-001,https://static.nike.com/a/images/t_default/23285187-60ad-4731-8fd3-0b532f500935/AIR+TRAINER+1+SB+LVIII.png,140,0,140
2972,"Nike Air Trainer 1 ""SB LVIII""",Men's Shoes,FOOTWEAR,,Grey,https://www.nike.com/t/air-trainer-1-sb-lviii-mens-shoes-PN2hZ0/FJ6195-002,https://static.nike.com/a/images/t_default/13641b34-ba9d-414d-baa9-dd9232372bb9/AIR+TRAINER+1+SB+LVIII.png,140,0,140
2973,Nike Offcourt (NFL Carolina Panthers),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-carolina-panthers-slide-mGG6Sr/DD0540-002,https://static.nike.com/a/images/t_default/56ba401e-5de0-4faf-aeb5-bdd470e7bc28/NIKE+OFFCOURT+SLIDE+PANTHERS.png,40,0,40
2974,Nike Offcourt (NFL Los Angeles Rams),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-los-angeles-rams-slide-QSwdxH/DD0556-002,https://static.nike.com/a/images/t_default/6417e973-7e44-4908-84ac-6617bf7345fa/NIKE+OFFCOURT+SLIDE+RAMS.png,40,0,40
2975,Nike Offcourt (NFL Jacksonville Jaguars),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-jacksonville-jaguars-slide-TL7TW3/DD0527-002,https://static.nike.com/a/images/t_default/a3e2bc00-13d4-4295-b545-0d132e8feeda/NIKE+OFFCOURT+SLIDE+JAGUARS.png,40,0,40
2976,Nike Offcourt (NFL Seattle Seahawks),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-seattle-seahawks-slide-hXmGGW/DD0545-002,https://static.nike.com/a/images/t_default/41f3a0a9-b8a9-4776-9f30-85f250f576f8/NIKE+OFFCOURT+SLIDE+SEAHAWKS.png,40,0,40
2977,Nike Offcourt (NFL Minnesota Vikings),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-minnesota-vikings-slide-Wj38Tc/DD0554-002,https://static.nike.com/a/images/t_default/c09e0cef-b83a-49a7-8fde-0ccd01f1ded4/NIKE+OFFCOURT+SLIDE+VIKINGS.png,40,0,40
2978,Nike Offcourt (NFL Arizona Cardinals),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-arizona-cardinals-slide-MmWZ1t/DD0514-002,https://static.nike.com/a/images/t_default/4afc0eb0-8f2d-452f-9281-e3500ece0096/NIKE+OFFCOURT+SLIDE+CARDINALS.png,40,0,40
2979,Nike Offcourt (NFL Tampa Bay Buccaneers),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-tampa-bay-buccaneers-slide-B8mRNn/DD0513-002,https://static.nike.com/a/images/t_default/2d298964-cfd3-4dbd-ac59-47b107b5e0e1/NIKE+OFFCOURT+SLIDE+BUCS.png,40,0,40
2980,Nike Offcourt (NFL Chicago Bears),Slide,FOOTWEAR,,Grey,https://www.nike.com/t/offcourt-chicago-bears-slide-04f3ZW/DD0508-002,https://static.nike.com/a/images/t_default/70b1350b-486a-442a-81c0-16e0c1df7ad1/NIKE+OFFCOURT+SLIDE+BEARS.png,40,0,40
